term,estimate,std.error,statistic,p.value
(Intercept),266.7165975126461,9.889655677888596,26.969250113426504,1.707038857150297e-129
btc_difficulty,2.099300054426637e-9,4.8183596759759367e-11,43.56877019566692,2.8372847898805525e-263
Volume,-2.1106266370526177e-7,4.5881875608645474e-8,-4.600131553154977,4.601666483240841e-6
btc_difficulty:Volume,1.1018148900464984e-18,4.1580017805121325e-20,26.498663257205006,7.266806456543081e-126
