Close,btc_difficulty,Volume
7144.38,1452839779140,232634e4
7022.76,1452839779140,31119e5
7407.41,1452839779140,238041e4
7379.95,1452839779140,24838e5
7207.76,1452839779140,336986e4
7078.5,1452839779140,465377e4
6767.31,1452839779140,287032e4
6468.4,1452839779140,231138e4
6130.53,1452839779140,177215e4
6153.85,1452839779140,285904e4
5753.09,1452839779140,140392e4
5780.9,1452839779140,171013e4
5904.83,1233777273050,190504e4
5750.8,1196792694100,196699e4
5526.64,1196792694100,27357e5
5930.32,1196792694100,240184e4
6008.42,1196792694100,203463e4
6031.6,1196792694100,22071e5
6011.45,1196792694100,235443e4
5708.52,1196792694100,178054e4
5590.69,1196792694100,239927e4
5605.51,1196792694100,182157e4
5725.59,1196792694100,200807e4
5678.19,1182954806240,197604e4
5831.79,1123863285130,166903e4
5647.21,1123863285130,361548e4
5446.91,1123863285130,279161e4
4826.48,1123863285130,122228e4
4781.99,1123863285130,159714e4
4772.02,1123863285130,196874e4
4610.48,1123863285130,131387e4
4426.89,1123863285130,906928e3
4370.81,1123863285130,106994e4
4328.41,1123863285130,116177e4
4229.36,1123863285130,111677e4
4317.48,1123863285130,128802e4
4409.32,1123590453770,143173e4
4403.74,1103400932960,120821e4
4338.71,1103400932960,120745e4
4163.07,1103400932960,136705e4
4174.73,1103400932960,171232e4
4200.67,1103400932960,168688e4
3892.35,1103400932960,104374e4
3926.07,1103400932960,137421e4
3682.84,1103400932960,768015e3
3792.4,1103400932960,928114e3
3630.7,1103400932960,119483e4
3631.04,1103400932960,141148e4
3905.95,1103400932960,121383e4
3924.97,1103400932960,156398e4
4065.2,1052185622750,194321e4
3582.88,922724699725,123915e4
3625.04,922724699725,18184e5
3637.52,922724699725,414807e4
3154.95,922724699725,271631e4
3882.59,922724699725,221941e4
4130.81,922724699725,186453e4
4161.27,922724699725,155733e4
4122.94,922724699725,167909e4
4226.06,922724699725,138623e4
4228.75,922724699725,270089e4
4599.88,922724699725,184462e4
4597.12,903315386419,21721e5
4376.53,888171856257,269797e4
4236.31,888171856257,298733e4
4582.96,888171856257,193319e4
4578.77,888171856257,272214e4
4892.01,888171856257,259908e4
4703.39,888171856257,194493e4
4565.3,888171856257,193785e4
4579.02,888171856257,248608e4
4382.66,888171856257,195933e4
4382.88,888171856257,153746e4
4352.4,888171856257,151161e4
4371.6,888171856257,172797e4
4334.68,891643263405,203775e4
4151.52,923233068448,236982e4
4100.52,923233068448,376424e4
4001.74,923233068448,280089e4
4087.66,923233068448,210977e4
4193.7,923233068448,297582e4
4160.62,923233068448,294171e4
4331.69,923233068448,255336e4
4376.63,923233068448,227204e4
4181.93,923233068448,325805e4
4325.13,923233068448,246309e4
4073.26,923233068448,315909e4
3884.71,923233068448,221959e4
3650.62,923233068448,202119e4
3381.28,923233068448,151511e4
3342.47,888074709978,146896e4
3419.94,860221984436,175276e4
3378.94,860221984436,148228e4
3213.94,860221984436,110503e4
3252.91,860221984436,19457e5
2895.89,860221984436,100212e4
2804.73,860221984436,804797e3
2710.67,860221984436,109495e4
2718.26,860221984436,132467e4
2875.34,860221984436,860575e3
2757.18,860221984436,705943e3
2726.45,860221984436,803746e3
2809.01,860221984436,13801e5
2671.78,836351931635,789104e3
2529.45,804525194568,937404e3
2576.48,804525194568,146009e4
2754.86,804525194568,866474e3
2730.4,804525194568,107284e4
2810.12,804525194568,117713e4
2667.76,804525194568,148945e4
2817.6,804525194568,224926e4
2273.43,804525194568,12451e5
2318.88,804525194568,151245e4
2228.41,804525194568,120176e4
1929.82,804525194568,118287e4
1998.86,804525194568,993608e3
2233.34,761764941640,882503e3
2357.9,708659466230,83577e4
2398.84,708659466230,111741e4
2337.79,708659466230,132976e4
2372.56,708659466230,11112e5
2518.44,708659466230,527856e3
2571.34,708659466230,73333e4
2518.66,708659466230,917412e3
2608.56,708659466230,761957e3
2601.99,708659466230,941566e3
2601.64,708659466230,985516e3
2564.06,708659466230,964112e3
2506.47,708707940676,803747e3
2434.55,711697198173,779914e3
2480.84,711697198173,860273e3
2539.32,711697198173,949979e3
2574.79,711697198173,118387e4
2552.45,711697198173,148979e4
2478.45,711697198173,166328e4
2589.41,711697198173,11611e5
2608.72,711697198173,98275e4
2744.91,711697198173,961319e3
2705.41,711697198173,109794e4
2689.1,711697198173,162658e4
2721.79,711697198173,185419e4
2589.6,711697198173,144684e4
2548.29,711697198173,117866e4
2655.88,679668719409,153451e4
2518.56,678760110082,119519e4
2464.58,678760110082,202626e4
2506.37,678760110082,169656e4
2717.02,678760110082,17812e5
2659.63,678760110082,256953e4
2958.11,678760110082,17524e5
2947.71,678760110082,201889e4
2823.81,678760110082,134895e4
2805.62,678760110082,128117e4
2732.16,678760110082,151771e4
2863.2,678760110082,208961e4
2686.81,678760110082,136931e4
2511.81,628336862171,135512e4
2515.35,595921917085,151495e4
2488.55,595921917085,131703e4
2407.88,595921917085,165318e4
2286.41,595921917085,154483e4
2175.47,595921917085,144397e4
2255.61,595921917085,994625e3
2155.8,595921917085,114714e4
2038.87,595921917085,170048e4
2202.42,595921917085,176348e4
2304.98,595921917085,24067e5
2443.64,595921917085,172538e4
2320.42,584152236545,137875e4
2173.4,559970892890,194222e4
2041.2,559970892890,114786e4
2084.73,559970892890,961336e3
1987.71,559970892890,115729e4
1888.65,559970892890,894321e3
1839.09,559970892890,106473e4
1734.45,559970892890,959045e3
1738.43,559970892890,731529e3
1808.91,559970892890,437196e3
1804.91,559970892890,579635e3
1724.24,559970892890,740984e3
1848.57,559970892890,79949e4
1787.13,555092980097,915723e3
